timestamp,timestamp_sample,device_id,pressure,temperature,error_count
3285946754,3285946715,3997730,101473.0,34.77,0
3286951238,3286951229,3997730,101488.0,34.77,0
3287955655,3287955647,3997730,101489.0,34.76,0
3288960564,3288960555,3997730,101484.0,34.76,0
3289954943,3289954934,3997730,101479.0,34.75,0
3290949484,3290949474,3997730,101482.0,34.739998,0
3291953927,3291953919,3997730,101479.0,34.73,0
3292958566,3292958557,3997730,101478.0,34.719997,0
3293943161,3293943152,3997730,101480.0,34.719997,0
3294947475,3294947466,3997730,101480.0,34.71,0
3295951922,3295951914,3997730,101479.0,34.7,0
3296956647,3296956638,3997730,101478.0,34.69,0
3297950927,3297950916,3997730,101477.0,34.69,0
3298955643,3298955605,3997730,101481.0,34.68,0
3299960309,3299960299,3997730,101475.0,34.67,0
3300954601,3300954592,3997730,101482.0,34.67,0
3301939215,3301939206,3997730,101479.0,34.66,0
3302943450,3302943441,3997730,101482.0,34.649998,0
3303947787,3303947778,3997730,101481.0,34.64,0
3304952248,3304952239,3997730,101486.0,34.63,0
3305957218,3305957207,3997730,101487.0,34.63,0
3306951834,3306951641,3997730,101483.0,34.62,0
3307956472,3307956461,3997730,101479.0,34.62,0
3308950873,3308950864,3997730,101473.0,34.61,0
3309955598,3309955560,3997730,101479.0,34.59,0
3310960039,3310960030,3997730,101478.0,34.59,0
3311944197,3311944188,3997730,101477.0,34.579998,0
3312949127,3312949118,3997730,101476.0,34.57,0
3313953629,3313953621,3997730,101474.0,34.57,0
3314958254,3314958245,3997730,101480.0,34.559998,0
3315952603,3315952593,3997730,101480.0,34.55,0
3316956973,3316956965,3997730,101475.0,34.54,0
3317961934,3317961925,3997730,101483.0,34.53,0
3318956879,3318956871,3997730,101486.0,34.52,0
3319941164,3319941155,3997730,101481.0,34.52,0
3320945514,3320945505,3997730,101473.0,34.51,0
3321950359,3321950350,3997730,101477.0,34.5,0
3322954788,3322954778,3997730,101476.0,34.489998,0
3323959407,3323959398,3997730,101473.0,34.48,0
3324953661,3324953652,3997730,101479.0,34.469997,0
3325958256,3325958247,3997730,101484.0,34.469997,0
3326953039,3326953028,3997730,101476.0,34.45,0
3327957385,3327957375,3997730,101479.0,34.44,0
3328961822,3328961813,3997730,101475.0,34.43,0
3329946097,3329946087,3997730,101478.0,34.43,0
3330950491,3330950481,3997730,101477.0,34.41,0
3331954942,3331954933,3997730,101476.0,34.41,0
3332949568,3332949559,3997730,101477.0,34.399998,0
3333954010,3333954001,3997730,101478.0,34.39,0
3334958527,3334958519,3997730,101480.0,34.38,0
3335953238,3335953229,3997730,101478.0,34.37,0
3336957813,3336957805,3997730,101473.0,34.36,0
3337942304,3337942295,3997730,101479.0,34.35,0
3338946565,3338946556,3997730,101474.0,34.34,0
3339951134,3339951126,3997730,101471.0,34.329998,0
3340955818,3340955809,3997730,101480.0,34.32,0
3341960358,3341960348,3997730,101486.0,34.3,0
3342954903,3342954893,3997730,101480.0,34.29,0
3343949459,3343949450,3997730,101479.0,34.28,0
3344954163,3344954154,3997730,101475.0,34.26,0
3345958696,3345958687,3997730,101477.0,34.25,0
3346942984,3346942975,3997730,101481.0,34.239998,0
3347947399,3347947390,3997730,101485.0,34.23,0
3348952205,3348952195,3997730,101486.0,34.219997,0
3349957047,3349957038,3997730,101484.0,34.2,0
3350951393,3350951384,3997730,101481.0,34.19,0
3351955816,3351955808,3997730,101472.0,34.17,0
3352950589,3352950579,3997730,101476.0,34.16,0
3353954849,3353954840,3997730,101472.0,34.149998,0
