timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3052706948,3052706349,-0.9993876,-0.0043946523,-0.013661075,0.031915367,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052756905,3052756300,-0.9993872,-0.0044030445,-0.013704638,0.031905472,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052801907,3052801257,-0.9993885,-0.00439681,-0.01367662,0.03187867,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052856783,3052856204,-0.9993894,-0.004393336,-0.013656576,0.031860955,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052906712,3052906155,-0.9993893,-0.004400011,-0.013688343,0.031848237,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052956674,3052956107,-0.9993896,-0.0043996405,-0.013668656,0.031849198,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053001578,3053001065,-0.99938995,-0.004395151,-0.013649757,0.03184678,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053056527,3053056011,-0.9993896,-0.0043991148,-0.013658514,0.03185185,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053106477,3053105963,-0.99938905,-0.0044003213,-0.013653683,0.03187367,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053156439,3053155914,-0.99938864,-0.0043958416,-0.013649023,0.031887684,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053206388,3053205866,-0.9993883,-0.004402347,-0.013649423,0.031898554,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053256339,3053255818,-0.9993879,-0.0043929685,-0.013652816,0.031909943,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053306306,3053305774,-0.999388,-0.004399527,-0.013652213,0.031907048,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053351315,3053350726,-0.9993881,-0.004395163,-0.013651631,0.03190387,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053406354,3053405673,-0.99938864,-0.0043882625,-0.013638451,0.031891722,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053456281,3053455625,-0.99938935,-0.0043935087,-0.013641203,0.031868115,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053506233,3053505577,-0.99938965,-0.004362503,-0.013611018,0.0318746,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053556194,3053555529,-0.9993889,-0.0043815966,-0.013660018,0.031876247,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053606055,3053605480,-0.9993892,-0.004391252,-0.013655785,0.03186727,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053656023,3053655432,-0.9993889,-0.0043926947,-0.013644327,0.03188243,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053706130,3053705384,-0.99938875,-0.004385021,-0.013617799,0.031899594,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053755854,3053755336,-0.9993874,-0.0043742834,-0.013653279,0.03192948,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053805804,3053805289,-0.9993865,-0.004387533,-0.0136662675,0.031948388,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053855756,3053855241,-0.99938667,-0.0043972763,-0.013631031,0.031957567,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053905697,3053905191,-0.99938595,-0.0043913596,-0.013659152,0.031969782,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3053955661,3053955143,-0.9993861,-0.004392475,-0.013647639,0.031966716,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054005631,3054005095,-0.99938637,-0.0043927906,-0.013637862,0.031965464,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054055569,3054055047,-0.9993875,-0.0043844255,-0.013615865,0.031938568,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054105555,3054104998,-0.9993879,-0.0043921582,-0.0136204865,0.031922124,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054155598,3054154950,-0.9993879,-0.004403286,-0.013614258,0.03192159,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054205486,3054204902,-0.9993881,-0.0044071167,-0.013605764,0.031920347,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054255462,3054254854,-0.9993875,-0.004410737,-0.013611758,0.031935494,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054305413,3054304805,-0.99938697,-0.0044037257,-0.01361302,0.03195539,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054355389,3054354762,-0.99938655,-0.0044010663,-0.013591482,0.031975534,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
