timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
3186976488,3186976140,3670026,0.008522116,0.0021837922,-0.0048469533,36.848225,0,0,0,0,10
3187978062,3187977701,3670026,0.013262542,0.005912218,-0.005432849,36.80416,0,0,0,0,10
3188978331,3188978013,3670026,0.013475595,0.0060187443,-0.008042746,36.862915,0,0,0,0,10
3189976179,3189975828,3670026,0.0080960095,-0.0018642128,-0.005486112,36.838432,0,0,0,0,10
3190976535,3190976141,3670026,0.0070840083,0.0014913703,-0.009853696,36.838432,0,0,0,0,10
3191978061,3191977702,3670026,0.01304949,0.00495348,-0.007190535,36.853123,0,0,0,0,10
3192975831,3192975517,3670026,0.0065513765,-0.0010120012,-0.0023435818,36.8776,0,0,0,0,10
3193976189,3193975830,3670026,0.0088949585,0.014114754,-0.0027164244,36.8776,0,0,0,0,10
3194977740,3194977392,3670026,0.008149273,0.009214537,-0.0066579026,36.86781,0,0,0,0,10
3195978026,3195977708,3670026,0.012996227,0.005965481,-0.008042746,36.838432,0,0,0,0,10
3196977094,3196976773,3670026,0.008788432,0.008042746,-0.004740427,36.882496,0,0,0,0,10
3197977435,3197977084,3670026,0.0068176924,0.010120012,-0.008735169,36.89229,0,0,0,0,10
3198977713,3198977398,3670026,0.009800433,0.008575379,-0.003834952,36.92656,0,0,0,0,10
3199975570,3199975214,3670026,0.008948221,0.0014913703,-0.0052197957,36.89229,0,0,0,0,10
3200977206,3200976777,3670026,0.007456851,0.0071372716,-0.0066046393,36.94125,0,0,0,0,10
3201977408,3201977092,3670026,0.010013485,0.0069774822,-0.0071372716,36.951042,0,0,0,0,10
3202978966,3202978655,3670026,0.010599381,-0.0014913703,-0.0049002166,36.897186,0,0,0,0,10
3203976796,3203976472,3670026,0.007989483,0.013209279,-0.0053263223,36.93635,0,0,0,0,10
3204977142,3204976787,3670026,0.010652645,0.0045273737,-0.0064981133,36.911873,0,0,0,0,10
3205978701,3205978352,3670026,0.013635385,0.001970739,-0.0061252704,36.897186,0,0,0,0,10
3206975279,3206974926,3670026,0.0104395915,0.0025566346,-0.0035153728,37.009792,0,0,0,0,10
