timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
3216806691,0,1,1,1,1,1,1,0,0,0,1,1
3217816785,0,1,1,1,1,1,1,0,0,0,1,1
3218824801,0,1,1,1,1,1,1,0,0,0,1,1
3219834984,0,1,1,1,1,1,1,0,0,0,1,1
3220843007,0,1,1,1,1,1,1,0,0,0,1,1
3221843098,0,1,1,1,1,1,1,0,0,0,1,1
3222851226,0,1,1,1,1,1,1,0,0,0,1,1
3223861326,0,1,1,1,1,1,1,0,0,0,1,1
3224869352,0,1,1,1,1,1,1,0,0,0,1,1
3225879275,0,1,1,1,1,1,1,0,0,0,1,1
3226507701,0,1,1,1,1,1,1,0,0,0,1,0
3227517780,0,1,1,1,1,1,1,0,0,0,1,0
3228525871,0,1,1,1,1,1,1,0,0,0,1,0
3229536097,0,1,1,1,1,1,1,0,0,0,1,0
3230543976,0,1,1,1,1,1,1,0,0,0,1,0
3231553928,0,1,1,1,1,1,1,0,0,0,1,0
3232562207,0,1,1,1,1,1,1,0,0,0,1,0
3233562218,0,1,1,1,1,1,1,0,0,0,1,0
3234570239,0,1,1,1,1,1,1,0,0,0,1,0
3235580326,0,1,1,1,1,1,1,0,0,0,1,0
3236588429,0,1,1,1,1,1,1,0,0,0,1,0
3237598546,0,1,1,1,1,1,1,0,0,0,1,0
3238606410,0,1,1,1,1,1,1,0,0,0,1,0
3239616599,0,1,1,1,1,1,1,0,0,0,1,0
3240624867,0,1,1,1,1,1,1,0,0,0,1,0
3241634621,0,1,1,1,1,1,1,0,0,0,1,0
3242642786,0,1,1,1,1,1,1,0,0,0,1,0
3243642846,0,1,1,1,1,1,1,0,0,0,1,0
3244650816,0,1,1,1,1,1,1,0,0,0,1,0
3245661198,0,1,1,1,1,1,1,0,0,0,1,0
3246668984,0,1,1,1,1,1,1,0,0,0,1,0
3247678942,0,1,1,1,1,1,1,0,0,0,1,0
3248687073,0,1,1,1,1,1,1,0,0,0,1,0
3249697172,0,1,1,1,1,1,1,0,0,0,1,0
3250705162,0,1,1,1,1,1,1,0,0,0,1,0
3251715247,0,1,1,1,1,1,1,0,0,0,1,0
3252723276,0,1,1,1,1,1,1,0,0,0,1,0
3253733652,0,1,1,1,1,1,1,0,0,0,1,0
3254742461,0,1,1,1,1,1,1,0,0,0,1,0
3255750672,0,1,1,1,1,1,1,0,0,0,1,0
3256760696,0,1,1,1,1,1,1,0,0,0,1,0
3257768693,0,1,1,1,1,1,1,0,0,0,1,0
3258778802,0,1,1,1,1,1,1,0,0,0,1,0
3259786850,0,1,1,1,1,1,1,0,0,0,1,0
3260796723,0,1,1,1,1,1,1,0,0,0,1,0
3261804932,0,1,1,1,1,1,1,0,0,0,1,0
3262814910,0,1,1,1,1,1,1,0,0,0,1,0
3263823049,0,1,1,1,1,1,1,0,0,0,1,0
3264833402,0,1,1,1,1,1,1,0,0,0,1,0
3265842153,0,1,1,1,1,1,1,0,0,0,1,0
3266850464,0,1,1,1,1,1,1,0,0,0,1,0
3267860226,0,1,1,1,1,1,1,0,0,0,1,0
3268868206,0,1,1,1,1,1,1,0,0,0,1,0
3269878297,0,1,1,1,1,1,1,1,0,0,1,0
3270886260,0,1,1,1,1,1,1,0,0,0,1,0
3271896562,0,1,1,1,1,1,1,0,0,0,1,0
3272904509,0,1,1,1,1,1,1,1,0,0,1,0
3273914570,0,1,1,1,1,1,1,0,0,0,1,0
3274922600,0,1,1,1,1,1,1,0,0,0,1,0
3275922755,0,1,1,1,1,1,1,1,0,0,1,0
3276930629,0,1,1,1,1,1,1,0,0,0,1,0
3277940916,0,1,1,1,1,1,1,0,0,0,1,0
3278948801,0,1,1,1,1,1,1,0,0,0,1,0
3279959028,0,1,1,1,1,1,1,0,0,0,1,0
3280966950,0,1,1,1,1,1,1,0,0,0,1,0
3281976989,0,1,1,1,1,1,1,0,0,0,1,0
3282985018,0,1,1,1,1,1,1,0,0,0,1,0
3283995055,0,1,1,1,1,1,1,0,0,0,1,0
3285003086,0,1,1,1,1,1,1,0,0,0,1,0
3286013171,0,1,1,1,1,1,1,0,0,0,1,0
3287022300,0,1,1,1,1,1,1,1,0,0,1,0
