timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
3066699922,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06503018,nan
3066899632,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06508492,nan
3067099356,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.065017626,nan
3067299349,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.064969845,nan
3067499305,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06513658,nan
3067698777,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06491717,nan
3067898639,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.064875394,nan
3068098457,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06495712,nan
3068298168,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06490206,nan
3068497916,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.064986594,nan
3068697747,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06495834,nan
3068897607,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06489005,nan
3069097635,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.065020576,nan
3069297219,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06501822,nan
3069497018,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06501539,nan
3069696939,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06513181,nan
3069896647,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06516995,nan
3070096438,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.065243654,nan
3070296466,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.065384895,nan
3070496189,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06522739,nan
3070696110,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06507772,nan
3070895875,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06517888,nan
3071095725,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.065142274,nan
3071295429,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06508548,nan
3071495246,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06516636,nan
3071694828,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06517355,nan
3071894722,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.065242656,nan
3072094567,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.065345734,nan
3072294258,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06518419,nan
3072494149,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06523646,nan
3072693972,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06525349,nan
3072893866,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06519048,nan
3073093510,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.065275565,nan
3073293305,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06519322,nan
3073493405,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.064904906,nan
3073692990,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06441161,nan
3073902848,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06409498,nan
3074102720,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06400273,nan
3074302470,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06413176,nan
3074502237,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.0641533,nan
3074702156,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06416063,nan
3074901973,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.064306125,nan
3075101867,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06433061,nan
3075301709,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06430426,nan
3075501247,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.064443745,nan
