timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
3182570322,0.06295281,0,0,0,0,0,0,0,0,0
3183070402,0.062014792,0,0,0,0,0,0,0,0,0
3183581354,0.0704286,0,0,0,0,0,0,0,0,0
3184091430,0.07015258,0,0,0,0,0,0,0,0,0
3184591574,0.06409825,0,0,0,0,0,0,0,0,0
3185101288,0.059949987,0,0,0,0,0,0,0,0,0
3185601339,0.048996013,0,0,0,0,0,0,0,0,0
3186102424,0.047185034,0,0,0,0,0,0,0,0,0
3186613470,0.044837814,0,0,0,0,0,0,0,0,0
3187123739,0.04112592,0,0,0,0,0,0,0,0,0
3187624243,0.03826826,0,0,0,0,0,0,0,0,0
3188125756,0.03647837,0,0,0,0,0,0,0,0,0
3188636351,0.033433292,0,0,0,0,0,0,0,0,0
3189146332,0.03092779,0,0,0,0,0,0,0,0,0
3189657329,0.028782623,0,0,0,0,0,0,0,0,0
3190160287,0.026804475,0,0,0,0,0,0,0,0,0
3190671604,0.02353802,0,0,0,0,0,0,0,0,0
3191181972,0.021562248,0,0,0,0,0,0,0,0,0
3191692330,0.01986868,0,0,0,0,0,0,0,0,0
3192203330,0.018733997,0,0,0,0,0,0,0,0,0
3192713313,0.017529901,0,0,0,0,0,0,0,0,0
3193213454,0.017618395,0,0,0,0,0,0,0,0,0
3193724289,0.017690802,0,0,0,0,0,0,0,0,0
3194233929,0.018343974,0,0,0,0,0,0,0,0,0
3194744487,0.016907288,0,0,0,0,0,0,0,0,0
3195255480,0.016448917,0,0,0,0,0,0,0,0,0
3195765402,0.014791223,0,0,0,0,0,0,0,0,0
3196266177,0.014201965,0,0,0,0,0,0,0,0,0
3196777485,0.013275063,0,0,0,0,0,0,0,0,0
3197287329,0.012578777,0,0,0,0,0,0,0,0,0
3197797422,0.011970656,0,0,0,0,0,0,0,0,0
3198309208,0.010605449,0,0,0,0,0,0,0,0,0
3198809289,0.009819893,0,0,0,0,0,0,0,0,0
3199309405,0.009221138,0,0,0,0,0,0,0,0,0
3199819549,0.008832328,0,0,0,0,0,0,0,0,0
3200330749,0.008549847,0,0,0,0,0,0,0,0,0
3200840288,0.008087766,0,0,0,0,0,0,0,0,0
3201350287,0.008187131,0,0,0,0,0,0,0,0,0
3201862123,0.00558606,0,0,0,0,0,0,0,0,0
3202372332,0.005444853,0,0,0,0,0,0,0,0,0
3202883288,0.0054532844,0,0,0,0,0,0,0,0,0
3203393369,0.005290517,0,0,0,0,0,0,0,0,0
3203893559,0.004341412,0,0,0,0,0,0,0,0,0
3204403289,0.0044986987,0,0,0,0,0,0,0,0,0
3204913498,0.0045330264,0,0,0,0,0,0,0,0,0
3205424350,0.004527452,0,0,0,0,0,0,0,0,0
3205935436,0.004719804,0,0,0,0,0,0,0,0,0
3206445397,0.0046496196,0,0,0,0,0,0,0,0,0
3206946851,0.004904527,0,0,0,0,0,0,0,0,0
3207456906,0.0040928246,0,0,0,0,0,0,0,0,0
3207967290,0.00407168,0,0,0,0,0,0,0,0,0
3208477311,0.004219885,0,0,0,0,0,0,0,0,0
3208979404,0.0040866905,0,0,0,0,0,0,0,0,0
3209489784,0.0051247906,0,0,0,0,0,0,0,0,0
3210000316,0.0052119712,0,0,0,0,0,0,0,0,0
3210511290,0.0049962196,0,0,0,0,0,0,0,0,0
3211021342,0.0049121426,0,0,0,0,0,0,0,0,0
3211530326,0.0046243398,0,0,0,0,0,0,0,0,0
3212042664,0.0044054883,0,0,0,0,0,0,0,0,0
3212552330,0.0060614473,0,0,0,0,0,0,0,0,0
3213063385,0.0060675736,0,0,0,0,0,0,0,0,0
3213574492,0.0058070035,0,0,0,0,0,0,0,0,0
