timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
3208979394,0,1,0,1,0,1,1,0,1,1,1,1,0
3209489775,0,1,0,1,0,1,1,0,1,1,1,1,0
3210000306,0,1,0,1,0,1,1,0,1,1,1,1,0
3210511280,0,1,0,1,0,1,1,0,1,1,1,1,0
3211021332,0,1,0,1,0,1,1,0,1,1,1,1,0
3211530316,0,1,0,1,0,1,1,0,1,1,1,1,0
3212042652,0,1,0,1,0,1,1,0,1,1,1,1,0
3212552317,0,1,0,1,0,1,1,0,1,1,1,1,0
3213063375,0,1,0,1,0,1,1,0,1,1,1,1,0
3213574482,0,1,0,1,0,1,1,0,1,1,1,1,0
3214084612,0,1,0,1,0,1,1,0,1,1,1,1,0
3214595410,0,1,0,1,0,1,1,0,1,1,1,1,0
3215105544,0,1,0,1,0,1,1,0,1,1,1,1,0
3215616315,0,1,0,1,0,1,1,0,1,1,1,1,0
3216127588,0,1,0,1,0,1,1,0,1,1,1,1,0
3216638231,0,1,0,1,0,1,1,0,1,1,1,1,0
3217148452,0,1,0,1,0,1,1,0,1,1,1,1,0
3217659311,0,1,0,1,0,1,1,0,1,1,1,1,0
3218169280,0,1,0,1,0,1,1,0,1,1,1,1,0
3218680285,0,1,0,1,0,1,1,0,1,1,1,1,0
3219191476,0,1,0,1,0,1,1,0,1,1,1,1,0
3219701356,0,1,0,1,0,1,1,0,1,1,1,1,0
3220211388,0,1,0,1,0,1,1,0,1,1,1,1,0
3220722277,0,1,0,1,0,1,1,0,1,1,1,1,0
3221234017,0,1,0,1,0,1,1,0,1,1,1,1,0
3221744382,0,1,0,1,0,1,1,0,1,1,1,1,0
3222253278,0,1,0,1,0,1,1,0,1,1,1,1,0
3222753466,0,1,0,1,0,1,1,0,1,1,1,1,0
3223263690,0,1,0,1,0,1,1,0,1,1,1,1,0
3223774997,0,1,0,1,0,1,1,0,1,1,1,1,0
3224284588,0,1,0,1,0,1,1,0,1,1,1,1,0
3224785396,0,1,0,1,0,1,1,0,1,1,1,1,0
3225294791,0,1,0,1,0,1,1,0,1,1,1,1,0
3225805628,0,1,0,1,0,1,1,0,1,1,1,1,0
3226316305,0,1,0,1,0,1,1,0,1,1,1,1,0
3226826280,0,1,0,1,0,1,1,0,1,1,1,1,0
3227327232,0,1,0,1,0,1,1,0,1,1,1,1,0
3227838438,0,1,0,1,0,1,1,0,1,1,1,1,0
3228339386,0,1,0,1,0,1,1,0,1,1,1,1,0
3228849278,0,1,0,1,0,1,1,0,1,1,1,1,0
3229349682,0,1,0,1,0,1,1,0,1,1,1,1,0
3229859420,0,1,0,1,0,1,1,0,1,1,1,1,0
3230370577,0,1,0,1,0,1,1,0,1,1,1,1,0
3230881280,0,1,0,1,0,1,1,0,1,1,1,1,0
3231391334,0,1,0,1,0,1,1,0,1,1,1,1,0
3231893994,0,1,0,1,0,1,1,0,1,1,1,1,0
3232404281,0,1,0,1,0,1,1,0,1,1,1,1,0
3232904319,0,1,0,1,0,1,1,0,1,1,1,1,0
3233404514,0,1,0,1,0,1,1,0,1,1,1,1,0
3233915645,0,1,0,1,0,1,1,0,1,1,1,1,0
3234425390,0,1,0,1,0,1,1,0,1,1,1,1,0
3234925923,0,1,0,1,0,1,1,0,1,1,1,1,0
3235435450,0,1,0,1,0,1,1,0,1,1,1,1,0
3235946280,0,1,0,1,0,1,1,0,1,1,1,1,0
3236456329,0,1,0,1,0,1,1,0,1,1,1,1,0
3236968353,0,1,0,1,0,1,1,0,1,1,1,1,0
3237479098,0,1,0,1,0,1,1,0,1,1,1,1,0
3237989344,0,1,0,1,0,1,1,0,1,1,1,1,0
3238499355,0,1,0,1,0,1,1,0,1,1,1,1,0
3239001279,0,1,0,1,0,1,1,0,1,1,1,1,0
3239511314,0,1,0,1,0,1,1,0,1,1,1,1,0
3240013297,0,1,0,1,0,1,1,0,1,1,1,1,0
3240524875,0,1,0,1,0,1,1,0,1,1,1,1,0
3241035760,0,1,0,1,0,1,1,0,1,1,1,1,0
3241545592,0,1,0,1,0,1,1,0,1,1,1,1,0
3242056879,0,1,0,1,0,1,1,0,1,1,1,1,0
3242566314,0,1,0,1,0,1,1,0,1,1,1,1,0
