timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
3092958134,3092957675,3670026,3670026,-2.3400132e-06,-1.0580735e-06,1.18947155e-05,0.0014724251,-0.00015662987,-0.049120344,4995,4995,0,0,1,1
3093457678,3093457198,3670026,3670026,1.7944132e-05,1.3605102e-05,2.682925e-06,0.0015636025,-8.250516e-05,-0.049161877,4995,4995,0,0,1,1
3093957186,3093956720,3670026,3670026,2.1811325e-06,-1.466519e-05,1.7916844e-05,0.0014006827,-0.00013601263,-0.04902166,4995,4995,0,0,1,1
3094456745,3094456243,3670026,3670026,8.364112e-06,2.8778326e-05,2.3271417e-08,0.0013486164,-0.00020509258,-0.04909667,4996,4996,0,0,1,1
3094956252,3094955765,3670026,3670026,5.274695e-06,1.275157e-06,1.7645762e-05,0.0013357897,-0.00018356493,-0.04905694,4995,4995,0,0,1,1
3095455754,3095455289,3670026,3670026,6.2887893e-06,3.4021796e-05,4.8670104e-06,0.0013693991,-0.00022818147,-0.049038436,4992,4992,0,0,1,1
3095955334,3095954811,3670026,3670026,1.7349475e-05,-2.277696e-05,1.2860923e-05,0.001470323,-0.00014680983,-0.049086496,4996,4996,0,0,1,1
3096454977,3096454333,3670026,3670026,1.331881e-05,1.7895607e-05,7.5074363e-06,0.0013247351,-9.684621e-05,-0.049151126,4995,4995,0,0,1,1
3096954311,3096953856,3670026,3670026,1.691525e-05,-1.0395259e-05,1.46193215e-05,0.0014419294,-8.669118e-05,-0.049104482,4995,4995,4,0,1,1
3097458845,3097458374,3670026,3670026,-6.439424e-07,-2.2433544e-05,1.2224723e-05,0.0013707813,-0.00026934373,-0.049041677,4995,4995,0,0,1,1
3097958470,3097957897,3670026,3670026,8.608164e-06,2.4138926e-05,9.880312e-06,0.0013301686,-0.00016279392,-0.049100686,4991,4991,0,0,1,1
3098452908,3098452425,3670026,3670026,7.3695896e-06,9.6932945e-06,1.37558345e-05,0.0013199436,-0.00012016763,-0.049199253,4995,4995,0,0,1,1
3098957429,3098956943,3670026,3670026,-3.0933182e-07,-3.058165e-05,1.5751795e-05,0.0014245644,-9.0541136e-05,-0.049089827,4995,4995,0,0,1,1
3099456980,3099456466,3670026,3670026,2.1916387e-05,3.210803e-05,1.9004335e-06,0.0015803233,-0.000120108525,-0.04919596,4995,4995,0,0,1,1
3099956443,3099955989,3670026,3670026,-2.341418e-06,2.0965328e-05,8.933675e-06,0.0016087564,-7.052604e-05,-0.04900312,4995,4995,0,0,1,1
3100455996,3100455512,3670026,3670026,2.1168735e-05,9.287138e-06,3.5128435e-06,0.0015821453,-0.000174595,-0.049151108,4995,4995,0,0,1,1
3100955500,3100955035,3670026,3670026,1.5883656e-05,1.3211467e-05,1.6549537e-05,0.0014664306,-0.00050286873,-0.04919298,4995,4995,0,0,1,1
3101455016,3101454559,3670026,3670026,1.4220683e-05,4.9438702e-05,-1.0074874e-06,0.0014000844,-0.0003537547,-0.048925314,4996,4996,0,0,1,1
3101954560,3101954082,3670026,3670026,4.4803605e-06,-1.2326744e-05,1.8478564e-05,0.0016246344,-0.00018179434,-0.04900964,4996,4996,0,0,1,1
3102454079,3102453605,3670026,3670026,1.5752215e-05,4.367025e-05,1.1861419e-05,0.001953786,9.389769e-05,-0.048941847,4995,4995,0,0,1,1
3102953602,3102953129,3670026,3670026,1.29919945e-05,-2.9562581e-05,1.21623225e-05,0.0014858729,-0.00021409283,-0.048992608,4996,4996,0,0,1,1
3103458145,3103457647,3670026,3670026,5.8055157e-06,-2.1273341e-05,1.14955e-05,0.0013638949,-8.5791005e-05,-0.049061436,4995,4995,0,0,1,1
3103957645,3103957171,3670026,3670026,1.2194052e-05,1.0286366e-05,7.605924e-06,0.0012370751,-0.0001192984,-0.049173523,4996,4996,0,0,1,1
3104457151,3104456694,3670026,3670026,1.5149038e-05,-3.883139e-06,5.9747076e-06,0.0013719683,-0.00015485343,-0.04900223,4995,4995,0,0,1,1
3104956697,3104956221,3670026,3670026,2.296699e-06,2.0196714e-05,1.3194986e-05,0.001485905,-0.00012239831,-0.04912257,4999,4999,0,0,1,1
3105456173,3105455741,3670026,3670026,1.1590844e-05,2.1084202e-06,1.1826905e-05,0.001602779,-0.00020299791,-0.04901061,4995,4995,0,0,1,1
3105955758,3105955265,3670026,3670026,3.1788773e-06,1.5794706e-06,1.4188671e-05,0.0014724206,-0.00010581392,-0.049083553,4995,4995,0,0,1,1
3106455445,3106454789,3670026,3670026,2.0476173e-05,1.471035e-05,7.4390155e-06,0.0016467541,4.6367328e-05,-0.04904075,4996,4996,0,0,1,1
3106954783,3106954313,3670026,3670026,2.0155983e-06,3.3936278e-05,1.0765825e-05,0.00061597786,-0.0002015333,-0.049132254,4996,4996,0,0,1,1
3107454324,3107453836,3670026,3670026,2.1102718e-05,4.9522136e-05,-2.3063515e-06,0.0013047016,-0.00025083736,-0.049167585,4995,4995,0,0,1,1
3107958934,3107958356,3670026,3670026,2.4465182e-05,3.3297118e-05,5.6798985e-06,0.0014864733,-2.5083307e-05,-0.049106825,4996,4996,0,0,1,1
3108458301,3108457879,3670026,3670026,-6.3314474e-06,-2.9120814e-05,1.9343184e-05,0.0014099348,-4.6615132e-05,-0.049039,4995,4995,0,0,1,1
3108952894,3108952408,3670026,3670026,1.6185337e-05,-1.9051471e-05,1.5521959e-05,0.0015050112,-6.128553e-05,-0.04906437,4996,4996,0,0,1,1
3109457423,3109456927,3670026,3670026,1.6118447e-06,-2.413928e-05,1.7051358e-05,0.0013172441,-0.00014320419,-0.049094915,4995,4995,0,0,1,1
3109956921,3109956451,3670026,3670026,1.6085105e-05,4.6975383e-06,7.471056e-06,0.0013477639,-9.266645e-05,-0.048916142,4995,4995,0,0,1,1
3110456426,3110455975,3670026,3670026,6.8713093e-06,-8.999714e-06,1.0928443e-05,0.0008867222,-0.00019552426,-0.049164567,4995,4995,0,0,1,1
3110955959,3110955502,3670026,3670026,2.061263e-06,5.2232997e-05,2.1515419e-07,0.0015537988,-6.0697494e-05,-0.049135182,4998,4998,0,0,1,1
3111455456,3111455023,3670026,3670026,1.578369e-05,-2.31496e-06,1.116186e-05,0.0013426645,-6.636228e-05,-0.04904228,4995,4995,0,0,1,1
3111955039,3111954547,3670026,3670026,3.809273e-06,2.8260367e-06,1.6154463e-05,0.0015489672,-0.00012375439,-0.04899717,4995,4995,0,0,1,1
3112454494,3112454072,3670026,3670026,1.6148608e-05,5.7873513e-06,6.708286e-06,0.0015570278,-5.354439e-06,-0.04911016,4995,4995,0,0,1,1
3112954069,3112953596,3670026,3670026,1.0427972e-05,-7.873525e-06,1.4389655e-05,0.0014765997,-7.652253e-05,-0.04903753,4995,4995,0,0,1,1
3113453567,3113453120,3670026,3670026,1.4850526e-05,3.3298467e-05,3.780068e-06,0.0013283144,-8.817229e-05,-0.049108967,4995,4995,0,0,1,1
3113958095,3113957640,3670026,3670026,1.3592754e-05,2.7981141e-05,6.4381934e-06,0.0014003391,-0.0001736745,-0.048978616,4995,4995,0,0,1,1
3114457589,3114457164,3670026,3670026,-1.1103568e-06,1.3084325e-07,1.5321655e-05,0.0014359552,-3.707401e-05,-0.049243797,4995,4995,0,0,1,1
3114957165,3114956689,3670026,3670026,2.2267992e-05,1.0149746e-05,3.6130582e-06,0.0013973903,-8.130786e-05,-0.049033917,4995,4995,0,0,1,1
3115456639,3115456213,3670026,3670026,6.0950974e-06,1.8345749e-05,1.398682e-05,0.0013511279,-9.559485e-05,-0.048994374,4991,4991,0,0,1,1
3115956239,3115955738,3670026,3670026,1.4973212e-05,4.5413348e-05,1.3034463e-05,0.0014436999,-8.5190346e-05,-0.049078412,4995,4995,0,0,1,1
3116455950,3116455263,3670026,3670026,1.4888046e-05,-1.718874e-05,1.3193493e-05,0.0014245706,-0.00020422453,-0.0490886,4996,4996,0,0,1,1
3116955266,3116954787,3670026,3670026,5.6720537e-06,1.593288e-05,8.436574e-06,0.0013997759,-0.00014408545,-0.049038716,4995,4995,0,0,1,1
3117454809,3117454312,3670026,3670026,7.534241e-06,-1.5566516e-06,1.1894862e-05,0.0014798967,-0.00023229154,-0.049145453,4995,4995,0,0,1,1
3117954417,3117953837,3670026,3670026,2.8491934e-06,1.9022202e-05,6.7436276e-06,0.0014188775,-0.00015425937,-0.049158584,4996,4996,0,0,1,1
3118458859,3118458357,3670026,3670026,8.818248e-08,3.2276148e-05,5.6069866e-06,0.0013495511,-0.00013633276,-0.04919866,4995,4995,0,0,1,1
3118958364,3118957882,3670026,3670026,7.0046985e-06,1.3712445e-05,5.1439765e-06,0.0011467662,-0.00015757498,-0.0490249,4996,4996,0,0,1,1
3119452951,3119452411,3670026,3670026,0.00011202665,8.464527e-05,-5.0003346e-06,0.0015809393,-0.0005743085,-0.048873402,4995,4995,0,0,1,1
3119957390,3119956932,3670026,3670026,4.3161534e-05,3.9025446e-05,1.0632201e-05,0.0016661914,-0.00022934358,-0.048907977,4996,4996,0,0,1,1
3120456944,3120456456,3670026,3670026,4.442272e-06,1.8090286e-05,1.758233e-05,0.001290951,-4.1578664e-05,-0.04899624,4995,4995,0,0,1,1
3120956448,3120955982,3670026,3670026,8.767699e-06,3.2339583e-05,4.345706e-06,0.0014553713,-8.84977e-05,-0.0490871,4996,4996,0,0,1,1
3121455962,3121455507,3670026,3670026,-2.8083373e-06,-1.2994791e-05,1.3291916e-05,0.0014619644,-7.981909e-05,-0.04913139,4995,4995,0,0,1,1
3121955516,3121955032,3670026,3670026,1.6415346e-05,3.2667325e-05,7.503657e-06,0.0014254663,-0.00013036813,-0.049114056,4995,4995,0,0,1,1
