timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho,calibration_count
3079854078,3079854022,3997730,-13.063628,34.079998,101482.0,1.2057741,0
3080055055,3080054983,3997730,-13.312005,34.079998,101485.0,1.2058097,0
3080256913,3080255919,3997730,-12.899804,34.079998,101480.0,1.2057502,0
3080456884,3080456832,3997730,-12.646141,34.079998,101477.0,1.2057146,0
3080657824,3080657773,3997730,-13.481114,34.09,101487.0,1.2058334,0
3080858681,3080858630,3997730,-13.148182,34.09,101483.0,1.2057859,0
3081059673,3081059621,3997730,-12.730695,34.079998,101478.0,1.2057265,0
3081260665,3081260575,3997730,-12.899804,34.09,101480.0,1.2057502,0
3081461346,3081461296,3997730,-13.063628,34.09,101482.0,1.2057741,0
3081662364,3081662313,3997730,-12.81525,34.09,101479.0,1.2057383,0
3081863205,3081863152,3997730,-13.148182,34.09,101483.0,1.2057859,0
3082064199,3082064120,3997730,-12.899804,34.09,101480.0,1.2057502,0
3082265033,3082264946,3997730,-13.148182,34.1,101483.0,1.2057859,0
3082465992,3082465942,3997730,-13.148182,34.1,101483.0,1.2057859,0
3082666828,3082666741,3997730,-12.899804,34.1,101480.0,1.2057502,0
3082867520,3082867469,3997730,-13.148182,34.1,101483.0,1.2057859,0
3083068491,3083068432,3997730,-12.81525,34.1,101479.0,1.2057383,0
3083269393,3083269338,3997730,-13.148182,34.1,101483.0,1.2057859,0
3083470296,3083470245,3997730,-13.063628,34.1,101482.0,1.2057741,0
3083671202,3083671152,3997730,-13.063628,34.1,101482.0,1.2057741,0
3083872204,3083872122,3997730,-12.899804,34.11,101480.0,1.2057502,0
3084073300,3084073119,3997730,-13.148182,34.11,101483.0,1.2057859,0
3084274227,3084274171,3997730,-12.81525,34.11,101479.0,1.2057383,0
3084475067,3084474983,3997730,-13.063628,34.11,101482.0,1.2057741,0
3084675784,3084675733,3997730,-12.81525,34.11,101479.0,1.2057383,0
3084876868,3084876819,3997730,-13.063628,34.11,101482.0,1.2057741,0
3085077682,3085077630,3997730,-12.899804,34.11,101480.0,1.2057502,0
3085278703,3085278652,3997730,-13.312005,34.12,101485.0,1.2058097,0
3085479576,3085479525,3997730,-12.81525,34.12,101479.0,1.2057383,0
3085680554,3085680502,3997730,-12.81525,34.12,101479.0,1.2057383,0
3085881591,3085881372,3997730,-13.148182,34.12,101483.0,1.2057859,0
3086082269,3086082217,3997730,-13.481114,34.12,101487.0,1.2058334,0
3086283225,3086283174,3997730,-12.979074,34.12,101481.0,1.2057621,0
3086483910,3086483834,3997730,-13.148182,34.12,101483.0,1.2057859,0
3086684864,3086684813,3997730,-13.644938,34.13,101489.0,1.2058573,0
3086885802,3086885742,3997730,-13.063628,34.13,101482.0,1.2057741,0
3087086606,3087086555,3997730,-12.899804,34.13,101480.0,1.2057502,0
3087287432,3087287341,3997730,-13.227451,34.13,101484.0,1.2057978,0
3087488412,3087488360,3997730,-13.481114,34.13,101487.0,1.2058334,0
3087689394,3087689343,3997730,-13.560384,34.13,101488.0,1.2058454,0
3087890426,3087890174,3997730,-12.730695,34.13,101478.0,1.2057265,0
3088091105,3088091028,3997730,-13.148182,34.14,101483.0,1.2057859,0
3088291981,3088291929,3997730,-13.312005,34.14,101485.0,1.2058097,0
3088492999,3088492948,3997730,-13.148182,34.14,101483.0,1.2057859,0
3088693894,3088693843,3997730,-13.481114,34.14,101487.0,1.2058334,0
3088894912,3088894861,3997730,-12.899804,34.14,101480.0,1.2057502,0
3089095886,3089095834,3997730,-13.227451,34.14,101484.0,1.2057978,0
