timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
3106374791,46080.0,1.0,21424.818,0.0,958040,142,46.929512,328,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3107376539,46080.0,1.0,21529.225,0.0,958381,142,46.998306,330,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3108383914,46080.0,1.0,21426.324,0.0,958721,142,46.95469,332,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3109382814,46080.0,1.0,22142.736,0.0,959062,142,46.906235,334,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3110399021,46080.0,1.0,21402.174,0.0,959404,142,46.90614,336,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3111387491,46080.0,1.0,21477.03,0.0,959741,142,46.793083,338,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3112386564,46080.0,1.0,21411.406,0.0,960080,142,46.889202,340,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3113385559,46080.0,1.0,21528.117,0.0,960419,142,46.998074,342,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3114381659,46080.0,1.0,21417.834,0.0,960757,142,46.94484,344,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3115389524,46080.0,1.0,21498.025,0.0,961098,142,46.906235,346,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3116389594,46080.0,1.0,21398.275,0.0,961436,142,46.893223,348,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3117399470,46080.0,1.0,21473.484,0.0,961779,142,46.872272,350,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3118390563,46080.0,1.0,21382.28,0.0,962115,142,46.906284,352,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3119380136,46080.0,1.0,21601.867,0.0,962454,142,46.904175,354,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3120379545,46080.0,1.0,21405.111,0.0,962791,142,46.908203,356,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3121384160,46080.0,1.0,21505.73,0.0,963132,142,46.831734,358,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3122383831,46080.0,1.0,21388.443,0.0,963470,142,46.882607,360,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3123399607,46080.0,1.0,21487.111,0.0,963814,142,46.910732,362,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3124396045,46080.0,1.0,21709.896,0.0,964153,142,46.924126,364,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3125403645,46080.0,1.0,21521.715,0.0,964493,142,46.888264,366,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3126383439,46080.0,1.0,21437.42,0.0,964827,142,46.985577,368,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3127378364,46080.0,1.0,21483.168,0.0,965168,142,46.873817,370,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3128376516,46080.0,1.0,21421.28,0.0,965504,142,46.95239,372,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3129409704,46080.0,1.0,21671.938,0.0,965851,142,46.906796,374,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3130399551,46080.0,1.0,21445.889,0.0,966189,142,46.969093,376,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3131387904,46080.0,1.0,21521.756,0.0,966526,142,46.982006,378,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3132398050,46080.0,1.0,21437.602,0.0,966867,142,46.902863,380,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
