timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
3116965628,0,0,1,0,0,0,0
3117476314,0,0,1,0,0,0,0
3117986275,0,0,1,0,0,0,0
3118497450,0,0,1,0,0,0,0
3119007597,0,0,1,0,0,0,0
3119519578,0,0,1,0,0,0,0
3120030315,0,0,1,0,0,0,0
3120540492,0,0,1,0,0,0,0
3121050276,0,0,1,0,0,0,0
3121561586,0,0,1,0,0,0,0
3122072275,0,0,1,0,0,0,0
3122582555,0,0,1,0,0,0,0
3123085751,0,0,1,0,0,0,0
3123595966,0,0,1,0,0,0,0
3124106316,0,0,1,0,0,0,0
3124616299,0,0,1,0,0,0,0
3125127790,0,0,1,0,0,0,0
3125637366,0,0,1,0,0,0,0
3126148397,0,0,1,0,0,0,0
3126648841,0,0,1,0,0,0,0
3127159306,0,0,1,0,0,0,0
3127669314,0,0,1,0,0,0,0
3128181439,0,0,1,0,0,0,0
3128691288,0,0,1,0,0,0,0
3129191347,0,0,1,0,0,0,0
3129702274,0,0,1,0,0,0,0
3130213202,0,0,1,0,0,0,0
3130722352,0,0,1,0,0,0,0
3131233275,0,0,1,0,0,0,0
3131743331,0,0,1,0,0,0,0
3132254716,0,0,1,0,0,0,0
3132765954,0,0,1,0,0,0,0
3133276683,0,0,1,0,0,0,0
3133787332,0,0,1,0,0,0,0
3134297444,0,0,1,0,0,0,0
3134798492,0,0,1,0,0,0,0
3135309305,0,0,1,0,0,0,0
3135820273,0,0,1,0,0,0,0
3136330537,0,0,1,0,0,0,0
3136832032,0,0,1,0,0,0,0
3137342760,0,0,1,0,0,0,0
3137853274,0,0,1,0,0,0,0
3138363318,0,0,1,0,0,0,0
3138874701,0,0,1,0,0,0,0
3139384277,0,0,1,0,0,0,0
3139895387,0,0,1,0,0,0,0
3140405935,0,0,1,0,0,0,0
3140916319,0,0,1,0,0,0,0
3141426275,0,0,1,0,0,0,0
3141938457,0,0,1,0,0,0,0
3142438547,0,0,1,0,0,0,0
3142948273,0,0,1,0,0,0,0
3143458558,0,0,1,0,0,0,0
3143969316,0,0,1,0,0,0,0
3144469571,0,0,1,0,0,0,0
3144979274,0,0,1,0,0,0,0
3145480876,0,0,1,0,0,0,0
3145991417,0,0,1,0,0,0,0
3146501381,0,0,1,0,0,0,0
3147013569,0,0,1,0,0,0,0
3147514274,0,0,1,0,0,0,0
3148024472,0,0,1,0,0,0,0
3148534276,0,0,1,0,0,0,0
3149045386,0,0,1,0,0,0,0
3149555551,0,0,1,0,0,0,0
3150066321,0,0,1,0,0,0,0
3150577354,0,0,1,0,0,0,0
3151087315,0,0,1,0,0,0,0
3151588158,0,0,1,0,0,0,0
3152098862,0,0,1,0,0,0,0
3152609315,0,0,1,0,0,0,0
3153119297,0,0,1,0,0,0,0
3153621375,0,0,1,0,0,0,0
