timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
3062897018,3670026,3670026,0,0,0,0,0,0,0,0,800.7736,800.7736,4003.868,8007.736,0.027297875,0.0068479385,2.5011043e-10,0.1898887,-0.1898659,-9.836555,0.008086499,-0.002522394,-0.0052191615,0.0009111153,0.00055276934,0.00043415735,1.1998551e-05,5.5407378e-05,5.6167573e-06,36.022087,36.022087
3063841050,3670026,3670026,0,0,0,0,0,0,0,0,800.77356,800.77356,4003.8674,8007.735,0.027482634,0.006764343,2.3377994e-10,0.17197779,-0.1983083,-9.83497,0.007985044,-0.0025185896,-0.004969332,0.0024929275,0.0007644086,0.0004710908,9.877252e-06,5.8908743e-05,6.1041887e-06,36.023773,36.023773
3064885127,3670026,3670026,0,0,0,0,0,0,0,0,800.7734,800.7734,4003.867,8007.734,0.02353029,0.0069589745,2.615749e-10,0.17340861,-0.19609082,-9.837302,0.008550015,-0.0014710794,-0.0051430715,0.021765737,0.012946182,0.02966109,1.4900076e-05,6.850614e-05,1.0318599e-05,36.033745,36.033745
3065929065,3670026,3670026,0,0,0,0,0,0,0,0,800.7733,800.7733,4003.8665,8007.733,0.022108989,0.006619945,2.3517133e-10,0.1791547,-0.19114281,-9.833665,0.008126446,-0.0025268325,-0.004962991,0.0006630024,0.0005254518,0.00040105137,1.1412092e-05,5.0262395e-05,6.0587554e-06,36.045284,36.045284
3066868138,3670026,3670026,0,0,0,0,0,0,0,0,800.77325,800.77325,4003.8662,8007.7324,0.02296244,0.0066413865,2.3593524e-10,0.18129808,-0.19129671,-9.837279,0.008238679,-0.0026308226,-0.0051024896,0.0004967038,0.00042357793,0.00033946845,8.274532e-06,4.8512607e-05,6.3999855e-06,36.04593,36.04593
3067917141,3670026,3670026,0,0,0,0,0,0,0,0,800.7732,800.7732,4003.8655,8007.731,0.022800576,0.00683683,2.4669233e-10,0.18864599,-0.19039604,-9.839587,0.008498655,-0.0023188526,-0.0052629136,0.0012591642,0.00051935075,0.00036028723,1.0462225e-05,5.0250714e-05,5.9999866e-06,36.053448,36.053448
3068851202,3670026,3670026,0,0,0,0,0,0,0,0,800.7731,800.7731,4003.8652,8007.7305,0.023468783,0.0067932005,2.5188998e-10,0.17897798,-0.19552077,-9.833671,0.008115666,-0.00222691,-0.0053282245,0.0015615255,0.00065450504,0.00042938304,1.1720023e-05,5.9675338e-05,5.840704e-06,36.05263,36.05263
3069900221,3670026,3670026,0,0,0,0,0,0,0,0,800.773,800.773,4003.8647,8007.7295,0.024862288,0.006751775,2.545324e-10,0.17594533,-0.19263633,-9.836372,0.008370569,-0.0026935972,-0.0051982366,0.0010242125,0.00072423404,0.0003055344,9.548867e-06,5.1040126e-05,5.6055887e-06,36.062782,36.062782
3070839351,3670026,3670026,0,0,0,0,0,0,0,0,800.7728,800.7728,4003.8643,8007.7285,0.023358293,0.006790548,2.4159838e-10,0.17873856,-0.19618203,-9.840306,0.008201268,-0.00181412,-0.0052394522,0.00056460855,0.0005109079,0.00029717066,1.0021205e-05,4.9469138e-05,5.7409884e-06,36.06913,36.06913
3071888407,3670026,3670026,0,0,0,0,0,0,0,0,800.77277,800.77277,4003.8638,8007.7275,0.02151367,0.006796504,2.3505967e-10,0.17757566,-0.19457449,-9.839348,0.008120739,-0.0017056913,-0.0053364676,0.0005102156,0.00039877614,0.00029011178,1.1106668e-05,5.1244235e-05,6.097742e-06,36.073803,36.073803
