timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
3159800089,3159799199,0,nan,nan,0.0007210252,-1.439275e-05,3.4316907,-0.8960409,-0.12411072,0.0,0.0018737003,-0.00044531614,-0.0004359619,0.0041812886,-0.35385558,-0.015222848,-0.0014915153,-0.034479935,-0.022092229,-0.008860153,-0.071975246,2.4454362,nan,0.09895539,0.01540398,0.2684287,0.043018438,0.07074794,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3159900016,3159899105,0,nan,nan,0.00071935874,-5.816119e-05,3.4319162,-0.8960409,-0.12411072,0.0,0.0013780929,-0.00037402395,-0.00049796375,0.003949105,-0.35385558,-0.015222848,-0.0014915153,-0.00043327617,0.0120802345,0.0053790445,-0.07199304,2.4454362,nan,0.098953485,0.012104781,0.26695883,0.03777176,0.068521164,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3159999855,3159999011,0,nan,nan,0.0007217336,-8.6800035e-05,3.432249,-0.8960409,-0.12411072,0.0,0.0021297387,-0.0005215449,-0.00017733907,0.004225154,-0.35385558,-0.015222848,-0.0014915153,0.03242038,-0.011921605,0.02257906,-0.07196283,2.4454362,nan,0.09918785,0.01507269,0.26826963,0.04255003,0.070543855,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3160099761,3160098916,0,nan,nan,0.00074065296,-8.5353495e-05,3.4321473,-0.8960409,-0.12411072,0.0,0.0023203548,0.0004006219,-6.210199e-05,0.0038395578,-0.35385558,-0.015222848,-0.0014915153,0.024378117,0.038084358,-0.02644919,-0.07190654,2.4454362,nan,0.09782982,0.011844419,0.26681486,0.03728193,0.0683178,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3160199619,3160198822,0,nan,nan,0.00075206603,-2.1462216e-05,3.431314,-0.8960409,-0.12411072,0.0,0.0021398293,0.00035950454,-0.00039589935,0.0023563593,-0.35385558,-0.015222848,-0.0014915153,0.0009139482,-0.008625213,0.005301916,-0.07190076,2.4454362,nan,0.09711051,0.014747381,0.26811284,0.042079248,0.070340104,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3160299644,3160298728,0,nan,nan,0.00072965026,4.0858704e-05,3.4308765,-0.8960409,-0.12411072,0.0,0.0014790564,0.00052139774,-0.0005575722,0.0015666292,-0.35385558,-0.015222848,-0.0014915153,-0.0274836,-0.013360072,-0.0008778145,-0.07192665,2.4454362,nan,0.09771085,0.011591035,0.266673,0.036790367,0.06811477,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3160399633,3160398634,0,nan,nan,0.0006469666,8.276525e-05,3.4298368,-0.8960409,-0.12411072,0.0,0.00113503,0.00020717252,-0.0007142449,0.00027074377,-0.35385558,-0.015222848,-0.0014915153,-0.015623043,0.007714335,0.003488867,-0.071952775,2.4454362,nan,0.09643102,0.014428211,0.26795822,0.041608587,0.07013671,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3160499434,3160498539,0,nan,nan,0.000554945,0.0001007294,3.428694,-0.8960409,-0.12411072,0.0,0.00062202476,0.000111814654,-0.0008073096,-0.00093972957,-0.35385558,-0.015222848,-0.0014915153,-0.0046862727,0.012264954,-0.0069473907,-0.07191913,2.4454362,nan,0.09642172,0.011344814,0.26653317,0.0362963,0.06791204,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3160599469,3160598446,0,nan,nan,0.00040938178,0.00010057572,3.4273875,-0.8960409,-0.12411072,0.0,1.8461858e-05,0.0004024623,-0.0010573742,-0.0023337149,-0.35385558,-0.015222848,-0.0014915153,-0.025894646,0.0119220605,0.00786804,-0.07187061,2.4454362,nan,0.095903635,0.014115253,0.26780576,0.04113564,0.06993357,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3160699452,3160698351,0,nan,nan,0.0002579568,0.00011971506,3.426337,-0.8960409,-0.12411072,0.0,-0.00040454892,0.0002728393,-0.0012061768,-0.0032454298,-0.35385558,-0.015222848,-0.0014915153,-0.02424716,0.013962774,-0.0053876904,-0.07185209,2.4454362,nan,0.097112656,0.0111057935,0.26639536,0.035799373,0.06770956,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3160799118,3160798257,0,nan,nan,5.480116e-05,0.00012231874,3.425474,-0.8960409,-0.12411072,0.0,-0.000992213,0.00032682432,-0.0010970861,-0.0036232728,-0.35385558,-0.015222848,-0.0014915153,-0.002228213,0.008323137,0.01123926,-0.07191764,2.4454362,nan,0.09789777,0.013808572,0.2676553,0.040661223,0.069730654,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3160899098,3160898163,0,nan,nan,-0.00015487566,0.00013722443,3.4242465,-0.8960409,-0.12411072,0.0,-0.0012441506,0.00024662275,-0.0012033723,-0.0045289136,-0.35385558,-0.015222848,-0.0014915153,0.0008951691,-0.00029408128,0.008003003,-0.07189618,2.4454362,nan,0.0970912,0.010910355,0.26904505,0.035590913,0.071755596,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
