timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
3119585336,5.0805173,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3120085305,5.0998535,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3120585475,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3121085299,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3121585298,5.10791,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3122086332,5.0756836,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3122585720,5.1095214,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3123085640,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3123585476,5.0756836,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3124085299,5.033789,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3124585471,5.0740724,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3125085298,5.08374,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3125585308,5.091797,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3126085299,5.041846,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3126585298,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3127085297,5.0466795,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3127585479,5.082129,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3128085299,5.0756836,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3128585391,5.040234,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3129085319,5.0482907,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3129585321,5.0756836,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3130085311,5.0740724,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3130585299,5.0805173,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3131085456,5.0756836,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3131585297,5.028955,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3132085297,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3132586505,5.0756836,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3133085838,5.0370116,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3133585322,5.103076,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3134085298,5.0805173,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3134585299,5.030566,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3135085534,5.0998535,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3135585297,5.0853515,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3136085305,5.040234,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3136585337,5.078906,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3137085298,5.0740724,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3137585304,5.041846,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3138085624,5.078906,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3138585324,5.0982423,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3139085449,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3139585307,5.1111326,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3140085299,5.077295,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3140585364,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3141085298,5.1111326,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3141585298,5.10791,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3142085341,5.041846,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3142585297,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3143086267,5.0853515,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3143585683,5.0354004,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3144085503,5.077295,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3144585299,5.1014647,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3145085299,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3145585586,5.082129,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3146085344,5.1095214,3.3161132,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3146585307,5.0805173,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3147085365,5.1111326,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3147585337,5.0756836,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3148085320,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3148585524,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3149085297,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3149585467,5.106299,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3150085306,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3150585300,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3151085385,5.08374,3.325781,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3151585297,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3152085319,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3152585354,5.103076,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3153085522,5.106299,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3153586492,5.0756836,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3154085906,5.1095214,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3154585413,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3155085363,5.1014647,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3155585299,5.0740724,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3156085303,5.10791,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3156585372,5.104687,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3157085333,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3157585438,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3158085299,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3158585337,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3159085559,5.078906,3.325781,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3159585310,5.0756836,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3160085297,5.078906,3.325781,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3160585304,5.0805173,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3161085298,5.0756836,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3161585482,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3162085297,5.082129,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3162585296,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3163085299,5.10791,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3163585299,5.0805173,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3164085354,5.0853515,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3164585923,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3165085462,5.0805173,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3165585448,5.10791,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3166085300,5.103076,3.325781,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3166585300,5.10791,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3167085329,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3167585428,5.1014647,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3168085297,5.0724607,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3168585299,5.0756836,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3169085298,5.0466795,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3169585775,5.0869627,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3170085296,5.08374,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3170585323,5.0708494,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3171085307,5.078906,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3171585311,5.0595703,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3172085300,5.0724607,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3172585318,5.067627,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3173085298,5.0853515,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3173585408,5.08374,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3174085299,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3174585329,5.0482907,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3175086519,5.0740724,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3175586036,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3176085303,5.041846,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3176585300,5.0708494,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3177085327,5.0756836,3.325781,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3177585435,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3178085307,5.077295,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
