timestamp,data_type
1701886802.7070255,IMU
1701886802.7120144,IMU
1701886802.7170095,IMU
1701886802.7220044,IMU
1701886802.7270005,IMU
1701886802.7319956,IMU
1701886802.7369905,IMU
1701886802.7419865,IMU
1701886802.7469814,IMU
1701886802.7519774,IMU
1701886802.7569726,IMU
1701886802.7619674,IMU
1701886802.7669623,IMU
1701886802.7719586,IMU
1701886802.7769537,IMU
1701886802.7819495,IMU
1701886802.7869444,IMU
1701886802.7919405,IMU
1701886802.7969356,IMU
1701886802.8019314,IMU
1701886802.8069255,IMU
1701886802.8119216,IMU
1701886802.8169165,IMU
1701886802.8219116,IMU
1701886802.8269074,IMU
1701886802.8319025,IMU
1701886802.8368986,IMU
1701886802.8418934,IMU
1701886802.8468883,IMU
1701886802.8518834,IMU
1701886802.8568797,IMU
1701886802.8618755,IMU
1701886802.8668704,IMU
1701886802.8718655,IMU
1701886802.8768616,IMU
1701886802.8818564,IMU
1701886802.8868515,IMU
1701886802.8918476,IMU
1701886802.8968425,IMU
1701886802.9018376,IMU
1701886802.9068325,IMU
1701886802.9118285,IMU
1701886802.9168234,IMU
1701886802.9218194,IMU
1701886802.9268146,IMU
1701886802.9318094,IMU
1701886802.9368055,IMU
1701886802.9418006,IMU
1701886802.9467957,IMU
1701886802.9517915,IMU
1701886802.9567864,IMU
1701886802.9617815,IMU
1701886802.9667776,IMU
1701886802.9717724,IMU
1701886802.9767675,IMU
1701886802.9817636,IMU
1701886802.9867594,IMU
1701886802.9917543,IMU
1701886802.9967494,IMU
1701886803.0017445,IMU
1701886803.0067406,IMU
1701886803.0117354,IMU
1701886803.0167303,IMU
1701886803.0217266,IMU
1701886803.0267217,IMU
1701886803.0317166,IMU
1701886803.0367124,IMU
1701886803.0417075,IMU
1701886803.0467024,IMU
1701886803.0516984,IMU
1701886803.0566936,IMU
1701886803.0616894,IMU
1701886803.0666845,IMU
1701886803.0716796,IMU
1701886803.0766745,IMU
1701886803.0816703,IMU
1701886803.0866654,IMU
1701886803.0916624,IMU
1701886803.0966566,IMU
1701886803.1016524,IMU
1701886803.1066475,IMU
1701886803.1116426,IMU
1701886803.1166384,IMU
1701886803.1216335,IMU
1701886803.1266284,IMU
1701886803.1316235,IMU
1701886803.1366196,IMU
1701886803.1416144,IMU
1701886803.1466105,IMU
1701886803.1516056,IMU
1701886803.1566036,IMU
1701886803.1615963,IMU
1701886803.1665914,IMU
1701886803.1715865,IMU
1701886803.1765826,IMU
1701886803.1815774,IMU
1701886803.1865726,IMU
1701886803.1915684,IMU
1701886803.1965635,IMU
1701886803.2015595,IMU
1701886803.2065544,IMU
1701886803.2115495,IMU
1701886803.2165456,IMU
1701886803.2215405,IMU
1701886803.2265356,IMU
1701886803.2315314,IMU
1701886803.2365265,IMU
1701886803.2415216,IMU
1701886803.2465174,IMU
1701886803.2515123,IMU
1701886803.2565074,IMU
1701886803.2615037,IMU
1701886803.2664986,IMU
1701886803.2714944,IMU
1701886803.2764895,IMU
1701886803.2814846,IMU
1701886803.2864804,IMU
1701886803.2914755,IMU
1701886803.2964704,IMU
1701886803.3014665,IMU
1701886803.3064616,IMU
1701886803.3114564,IMU
1701886803.3164525,IMU
1701886803.3214476,IMU
1701886803.3264425,IMU
1701886803.3314383,IMU
1701886803.3364334,IMU
1701886803.3414285,IMU
1701886803.3464246,IMU
1701886803.3514194,IMU
1701886803.3564146,IMU
1701886803.3614104,IMU
1701886803.3664055,IMU
1701886803.3714015,IMU
1701886803.3763964,IMU
1701886803.3813915,IMU
1701886803.3863876,IMU
1701886803.3913825,IMU
1701886803.3963776,IMU
1701886803.4013734,IMU
1701886803.4063685,IMU
1701886803.4113655,IMU
1701886803.4163594,IMU
1701886803.4213543,IMU
1701886803.4263494,IMU
1701886803.4313457,IMU
1701886803.4363406,IMU
1701886803.4413414,IMU
1701886803.4463315,IMU
1701886803.4513276,IMU
1701886803.4563246,IMU
1701886803.4613175,IMU
1701886803.4663124,IMU
1701886803.4713094,IMU
1701886803.4763095,IMU
1701886803.4812984,IMU
1701886803.4862945,IMU
